순번,법무법인명,주소
139,법무법인지원,서울특별시 양천구 신정동 1009의6새암빌딩205호
140,법무법인행복,서울특별시 서초구 서초동 1554의4현대드림시티5층
141,법무법인청남로,대전광역시 서구 둔산로137번길 35 (둔산동) 2층
142,테스트법무법인입니다,강원도 강릉시 강동면 111
143,신사합동법률사무소,서울특별시 강남구 논현동 1 삼주빌딩 6층
144,장안합동법률사무소,서울특별시 종로구 종로3가 160 동양빌딩 3층
145,새한합동법률사무소,서울특별시 중구 무교동 32-2 남강빌딩 601호
146,법무법인통일,"경기도 고양시 일산동구 중앙로 1187 (장항동, 흥국생명빌딩) 2층"
147,법무법인상록,경기도 안산시 단원구 고잔동 707 안산법조타운309호
148,법무법인온누리,경기도 안산시 단원구 고잔동 710-1 삼영빌딩 102호
149,법무법인로시스,인천광역시 미추홀구 소성로 171 로시스빌딩 201호
150,법무법인대원,인천광역시 남구 학익동 270-30 중앙빌딩 6층
151,법무법인21세기,광주광역시 동구 지산동 714의 20(변호사회관빌딩5층)
152,법무법인은율,서울특별시 강남구 삼성동 114의9올림푸스타워3층
153,테스트,서울특별시 마포구 가양대로 1 (상암동) 1
154,법무법인시공,서울특별시 강남구 역삼동 677의25 큰길타워6층
155,법무법인아태,서울특별시 중구 다동 10한국관광공사빌딩12층
156,법무법인청목,서울특별시 서초구 서초동 1699의8법률센터빌딩5층
157,법무법인수로,서울특별시 서초구 서초동 1716의7승보빌딩501호
158,법무법인재상,서울특별시 강남구 대치동 1005의8보성빌딩3층
159,법무법인중원,대구광역시 수성구 범어3동 33의10법무빌딩301호
160,법무법인한민,서울특별시 서초구 서초동 1574의1우서빌딩3층
161,법무법인나래,서울특별시 서초구 서초동 1554의8행림빌딩3층
162,법무법인남강,서울특별시 서초구 서초대로41길 승소빌딩 2층
163,법무법인양지,서울특별시 서초구 서초동 1573의1서초프라자501호
164,법무법인한로,서울특별시 서초구 서초동 1716의7 승보빌딩4층
165,법무법인원전,서울특별시 강남구 역삼동 823의1 풍림빌딩8층
166,법무법인미래로,경상남도 창원시 사파동 83세영빌딩2층
167,테스트인가공증사무소,서울특별시 마포구 마포나루길 429 (망원동 205-5) 테스트
168,법무법인송헌,서울특별시 서초구 서초동 1675의12모인터빌딩7층
169,공증인가대구고려합동법률사무소,대구광역시 수성구 동대구로 365 (범어동) 수강빌딩 202호
170,법무법인한신,서울특별시 서초구 서초동 1717의2 우암빌딩3층
171,법무법인위더스,"대구광역시 수성구 범어동 45의5킹덤오피스텔502,503호"
172,법무법인정곡,서울특별시 서초구 서초동 1316의5부띠크모나코1003호
173,법무법인수인앤한솔,전라북도 익산시 주현로 25
